"Date","All","Bottom fifth","Second fifth","Middle fifth","Fourth fifth","Top fifth"
"2019","53.8%","27.7%","44.2%","57.8%","67.2%","72.8%"
"2018","52.6%","25.3%","43.5%","55.1%","66.1%","71.8%"
"2017","54.0%","24.1%","45.0%","58.5%","66.9%","74.1%"
"2016","53.1%","24.2%","43.9%","57.2%","67.3%","73.4%"
"2015","52.7%","23.2%","43.6%","57.5%","66.6%","73.5%"
"2014","52.8%","22.3%","41.8%","57.6%","68.1%","73.9%"
"2013","52.7%","21.5%","42.2%","60.2%","65.9%","73.8%"
"2012","51.6%","18.9%","40.8%","56.8%","67.6%","75.0%"
"2011","52.3%","18.0%","40.3%","58.3%","67.7%","76.1%"
"2010","53.1%","18.8%","40.5%","58.9%","68.9%","76.1%"
"2009","53.6%","20.5%","42.7%","59.2%","69.0%","75.1%"
"2008","55.2%","22.6%","44.5%","61.0%","70.5%","76.6%"
"2007","55.4%","24.3%","45.7%","60.3%","69.8%","76.7%"
"2006","55.0%","24.0%","44.3%","60.8%","69.1%","76.8%"
"2005","54.9%","23.9%","44.8%","60.6%","68.8%","76.8%"
"2004","55.9%","24.4%","46.0%","61.6%","70.4%","77.5%"
"2003","56.4%","24.9%","46.9%","61.2%","71.1%","78.1%"
"2002","57.3%","26.6%","47.6%","62.1%","71.8%","78.6%"
"2001","58.2%","26.3%","49.3%","64.1%","73.0%","78.2%"
"2000","58.9%","27.4%","50.9%","63.9%","73.6%","79.8%"
"1999","58.9%","27.0%","50.2%","63.5%","74.7%","79.9%"
"1998","58.7%","24.5%","49.7%","64.2%","74.5%","80.4%"
"1997","58.0%","25.6%","48.9%","62.2%","73.2%","80.8%"
"1996","59.1%","26.2%","48.9%","62.5%","75.0%","82.9%"
"1995","58.5%","25.1%","49.0%","62.7%","73.6%","81.7%"
"1994","58.7%","24.9%","48.9%","63.2%","74.5%","82.8%"
"1993","58.9%","25.2%","49.3%","64.6%","74.6%","81.2%"
"1992","58.3%","23.4%","48.0%","63.2%","75.2%","82.6%"
"1991","59.7%","24.4%","50.1%","64.7%","76.5%","82.7%"
"1990","59.9%","24.8%","49.0%","65.6%","77.0%","83.2%"
"1989","61.5%","26.5%","51.7%","67.7%","77.9%","85.0%"
"1988","61.7%","26.2%","53.2%","66.6%","78.3%","84.9%"
"1987","62.4%","27.2%","51.9%","68.3%","78.2%","86.7%"
"1986","66.2%","29.7%","57.0%","71.7%","83.0%","88.3%"
"1985","67.0%","30.8%","58.3%","73.8%","83.0%","89.6%"
"1984","67.1%","32.1%","59.2%","72.8%","83.1%","89.0%"
"1983","68.6%","33.0%","60.3%","74.1%","85.0%","90.1%"
"1982","69.6%","35.8%","61.8%","74.6%","84.9%","90.9%"
"1981","70.5%","38.2%","62.4%","75.0%","86.0%","91.5%"
"1980","70.2%","37.8%","61.3%","75.3%","85.7%","90.0%"
"1979","69.0%","37.9%","59.2%","74.3%","83.6%","89.7%"