"Date","All"
"Dec-2024","7.5%"
"Nov-2024","7.5%"
"Oct-2024","7.4%"
"Sep-2024","7.4%"
"Aug-2024","7.3%"
"Jul-2024","7.3%"
"Jun-2024","7.2%"
"May-2024","7.1%"
"Apr-2024","7.1%"
"Mar-2024","7.0%"
"Feb-2024","7.0%"
"Jan-2024","6.9%"
"Dec-2023","6.9%"
"Nov-2023","6.8%"
"Oct-2023","6.8%"
"Sep-2023","6.8%"
"Aug-2023","6.7%"
"Jul-2023","6.7%"
"Jun-2023","6.7%"
"May-2023","6.7%"
"Apr-2023","6.8%"
"Mar-2023","6.8%"
"Feb-2023","6.8%"
"Jan-2023","6.8%"
"Dec-2022","6.9%"
"Nov-2022","6.9%"
"Oct-2022","7.0%"
"Sep-2022","7.1%"
"Aug-2022","7.3%"
"Jul-2022","7.4%"
"Jun-2022","7.6%"
"May-2022","7.9%"
"Apr-2022","8.1%"
"Mar-2022","8.4%"
"Feb-2022","8.7%"
"Jan-2022","9.1%"
"Dec-2021","9.4%"
"Nov-2021","9.8%"
"Oct-2021","10.1%"
"Sep-2021","10.4%"
"Aug-2021","10.8%"
"Jul-2021","11.3%"
"Jun-2021","11.9%"
"May-2021","12.6%"
"Apr-2021","13.5%"
"Mar-2021","14.5%"
"Feb-2021","14.3%"
"Jan-2021","14.0%"
"Dec-2020","13.6%"
"Nov-2020","13.2%"
"Oct-2020","12.8%"
"Sep-2020","12.3%"
"Aug-2020","11.8%"
"Jul-2020","11.2%"
"Jun-2020","10.4%"
"May-2020","9.5%"
"Apr-2020","8.4%"
"Mar-2020","7.2%"
"Feb-2020","7.1%"
"Jan-2020","7.1%"
"Dec-2019","7.2%"
"Nov-2019","7.2%"
"Oct-2019","7.3%"
"Sep-2019","7.3%"
"Aug-2019","7.4%"
"Jul-2019","7.4%"
"Jun-2019","7.4%"
"May-2019","7.5%"
"Apr-2019","7.5%"
"Mar-2019","7.6%"
"Feb-2019","7.6%"
"Jan-2019","7.7%"
"Dec-2018","7.7%"
"Nov-2018","7.8%"
"Oct-2018","7.8%"
"Sep-2018","7.8%"
"Aug-2018","7.9%"
"Jul-2018","8.0%"
"Jun-2018","8.1%"
"May-2018","8.2%"
"Apr-2018","8.2%"
"Mar-2018","8.3%"
"Feb-2018","8.4%"
"Jan-2018","8.4%"
"Dec-2017","8.5%"
"Nov-2017","8.6%"
"Oct-2017","8.7%"
"Sep-2017","8.9%"
"Aug-2017","9.0%"
"Jul-2017","9.1%"
"Jun-2017","9.2%"
"May-2017","9.3%"
"Apr-2017","9.4%"
"Mar-2017","9.5%"
"Feb-2017","9.5%"
"Jan-2017","9.6%"
"Dec-2016","9.6%"
"Nov-2016","9.7%"
"Oct-2016","9.7%"
"Sep-2016","9.8%"
"Aug-2016","9.8%"
"Jul-2016","9.8%"
"Jun-2016","9.9%"
"May-2016","10.0%"
"Apr-2016","10.0%"
"Mar-2016","10.1%"
"Feb-2016","10.2%"
"Jan-2016","10.3%"
"Dec-2015","10.5%"
"Nov-2015","10.6%"
"Oct-2015","10.7%"
"Sep-2015","10.8%"
"Aug-2015","11.0%"
"Jul-2015","11.1%"
"Jun-2015","11.3%"
"May-2015","11.4%"
"Apr-2015","11.5%"
"Mar-2015","11.6%"
"Feb-2015","11.8%"
"Jan-2015","11.9%"
"Dec-2014","12.0%"
"Nov-2014","12.2%"
"Oct-2014","12.3%"
"Sep-2014","12.5%"
"Aug-2014","12.7%"
"Jul-2014","12.8%"
"Jun-2014","12.9%"
"May-2014","13.1%"
"Apr-2014","13.3%"
"Mar-2014","13.4%"
"Feb-2014","13.5%"
"Jan-2014","13.6%"
"Dec-2013","13.8%"
"Nov-2013","13.9%"
"Oct-2013","14.0%"
"Sep-2013","14.1%"
"Aug-2013","14.2%"
"Jul-2013","14.2%"
"Jun-2013","14.3%"
"May-2013","14.4%"
"Apr-2013","14.5%"
"Mar-2013","14.5%"
"Feb-2013","14.6%"
"Jan-2013","14.6%"
"Dec-2012","14.7%"
"Nov-2012","14.8%"
"Oct-2012","14.9%"
"Sep-2012","15.0%"
"Aug-2012","15.1%"
"Jul-2012","15.2%"
"Jun-2012","15.3%"
"May-2012","15.4%"
"Apr-2012","15.5%"
"Mar-2012","15.6%"
"Feb-2012","15.7%"
"Jan-2012","15.8%"
"Dec-2011","15.9%"
"Nov-2011","16.0%"
"Oct-2011","16.2%"
"Sep-2011","16.2%"
"Aug-2011","16.3%"
"Jul-2011","16.3%"
"Jun-2011","16.3%"
"May-2011","16.3%"
"Apr-2011","16.4%"
"Mar-2011","16.5%"
"Feb-2011","16.6%"
"Jan-2011","16.7%"
"Dec-2010","16.7%"
"Nov-2010","16.8%"
"Oct-2010","16.8%"
"Sep-2010","16.8%"
"Aug-2010","16.8%"
"Jul-2010","16.8%"
"Jun-2010","16.8%"
"May-2010","16.8%"
"Apr-2010","16.8%"
"Mar-2010","16.7%"
"Feb-2010","16.6%"
"Jan-2010","16.5%"
"Dec-2009","16.2%"
"Nov-2009","15.9%"
"Oct-2009","15.6%"
"Sep-2009","15.2%"
"Aug-2009","14.7%"
"Jul-2009","14.2%"
"Jun-2009","13.7%"
"May-2009","13.2%"
"Apr-2009","12.6%"
"Mar-2009","12.1%"
"Feb-2009","11.5%"
"Jan-2009","11.0%"
"Dec-2008","10.5%"
"Nov-2008","10.1%"
"Oct-2008","9.8%"
"Sep-2008","9.5%"
"Aug-2008","9.3%"
"Jul-2008","9.1%"
"Jun-2008","8.9%"
"May-2008","8.8%"
"Apr-2008","8.6%"
"Mar-2008","8.6%"
"Feb-2008","8.5%"
"Jan-2008","8.4%"
"Dec-2007","8.3%"
"Nov-2007","8.3%"
"Oct-2007","8.2%"
"Sep-2007","8.2%"
"Aug-2007","8.2%"
"Jul-2007","8.2%"
"Jun-2007","8.2%"
"May-2007","8.2%"
"Apr-2007","8.2%"
"Mar-2007","8.2%"
"Feb-2007","8.2%"
"Jan-2007","8.2%"
"Dec-2006","8.2%"
"Nov-2006","8.3%"
"Oct-2006","8.3%"
"Sep-2006","8.4%"
"Aug-2006","8.5%"
"Jul-2006","8.5%"
"Jun-2006","8.5%"
"May-2006","8.6%"
"Apr-2006","8.6%"
"Mar-2006","8.7%"
"Feb-2006","8.8%"
"Jan-2006","8.9%"
"Dec-2005","8.9%"
"Nov-2005","9.0%"
"Oct-2005","9.1%"
"Sep-2005","9.1%"
"Aug-2005","9.2%"
"Jul-2005","9.2%"
"Jun-2005","9.3%"
"May-2005","9.3%"
"Apr-2005","9.4%"
"Mar-2005","9.4%"
"Feb-2005","9.5%"
"Jan-2005","9.5%"
"Dec-2004","9.6%"
"Nov-2004","9.6%"
"Oct-2004","9.7%"
"Sep-2004","9.7%"
"Aug-2004","9.8%"
"Jul-2004","9.9%"
"Jun-2004","9.9%"
"May-2004","10.0%"
"Apr-2004","10.0%"
"Mar-2004","10.1%"
"Feb-2004","10.1%"
"Jan-2004","10.1%"
"Dec-2003","10.1%"
"Nov-2003","10.1%"
"Oct-2003","10.1%"
"Sep-2003","10.1%"
"Aug-2003","10.0%"
"Jul-2003","10.0%"
"Jun-2003","9.9%"
"May-2003","9.8%"
"Apr-2003","9.8%"
"Mar-2003","9.7%"
"Feb-2003","9.7%"
"Jan-2003","9.6%"
"Dec-2002","9.6%"
"Nov-2002","9.6%"
"Oct-2002","9.5%"
"Sep-2002","9.5%"
"Aug-2002","9.4%"
"Jul-2002","9.3%"
"Jun-2002","9.2%"
"May-2002","9.0%"
"Apr-2002","8.9%"
"Mar-2002","8.7%"
"Feb-2002","8.5%"
"Jan-2002","8.3%"
"Dec-2001","8.1%"
"Nov-2001","7.9%"
"Oct-2001","7.7%"
"Sep-2001","7.5%"
"Aug-2001","7.4%"
"Jul-2001","7.3%"
"Jun-2001","7.2%"
"May-2001","7.1%"
"Apr-2001","7.1%"
"Mar-2001","7.1%"
"Feb-2001","7.1%"
"Jan-2001","7.0%"
"Dec-2000","7.0%"
"Nov-2000","7.0%"
"Oct-2000","7.0%"
"Sep-2000","7.1%"
"Aug-2000","7.1%"
"Jul-2000","7.1%"
"Jun-2000","7.1%"
"May-2000","7.2%"
"Apr-2000","7.2%"
"Mar-2000","7.3%"
"Feb-2000","7.3%"
"Jan-2000","7.4%"
"Dec-1999","7.4%"
"Nov-1999","7.5%"
"Oct-1999","7.5%"
"Sep-1999","7.6%"
"Aug-1999","7.6%"
"Jul-1999","7.7%"
"Jun-1999","7.7%"
"May-1999","7.8%"
"Apr-1999","7.8%"
"Mar-1999","7.8%"
"Feb-1999","7.9%"
"Jan-1999","8.0%"
"Dec-1998","8.0%"
"Nov-1998","8.1%"
"Oct-1998","8.2%"
"Sep-1998","8.2%"
"Aug-1998","8.3%"
"Jul-1998","8.4%"
"Jun-1998","8.4%"
"May-1998","8.5%"
"Apr-1998","8.6%"
"Mar-1998","8.7%"
"Feb-1998","8.7%"
"Jan-1998","8.8%"
"Dec-1997","8.9%"
"Nov-1997","9.0%"
"Oct-1997","9.1%"
"Sep-1997","9.2%"
"Aug-1997","9.2%"
"Jul-1997","9.3%"
"Jun-1997","9.4%"
"May-1997","9.4%"
"Apr-1997","9.5%"
"Mar-1997","9.6%"
"Feb-1997","9.6%"
"Jan-1997","9.7%"
"Dec-1996","9.7%"
"Nov-1996","9.7%"
"Oct-1996","9.8%"
"Sep-1996","9.8%"
"Aug-1996","9.9%"
"Jul-1996","10.0%"
"Jun-1996","10.0%"
"May-1996","10.0%"
"Apr-1996","10.1%"
"Mar-1996","10.1%"
"Feb-1996","10.1%"
"Jan-1996","10.1%"
"Dec-1995","10.1%"
"Nov-1995","10.1%"
"Oct-1995","10.1%"
"Sep-1995","10.1%"
"Aug-1995","10.2%"
"Jul-1995","10.2%"
"Jun-1995","10.2%"
"May-1995","10.3%"
"Apr-1995","10.4%"
"Mar-1995","10.5%"
"Feb-1995","10.6%"
"Jan-1995","10.7%"
"Dec-1994","10.9%"
"Nov-1994","11.0%"
"Oct-1994","11.1%"
"Sep-1994","11.2%"
"Aug-1994","11.3%"
"Jul-1994","11.4%"
"Jun-1994","11.6%"
"May-1994","11.7%"
"Apr-1994","11.8%"
"Mar-1994","11.9%"
"Feb-1994","12.0%"
"Jan-1994","12.0%"
"Dec-1993","12.1%"
"Nov-1993","12.2%"
"Oct-1993","12.3%"
"Sep-1993","12.4%"
"Aug-1993","12.4%"
"Jul-1993","12.5%"
"Jun-1993","12.6%"
"May-1993","12.6%"
"Apr-1993","12.6%"
"Mar-1993","12.7%"
"Feb-1993","12.7%"
"Jan-1993","12.7%"
"Dec-1992","12.8%"
"Nov-1992","12.8%"
"Oct-1992","12.7%"
"Sep-1992","12.7%"
"Aug-1992","12.6%"
"Jul-1992","12.5%"
"Jun-1992","12.5%"
"May-1992","12.4%"
"Apr-1992","12.3%"
"Mar-1992","12.2%"
"Feb-1992","12.1%"
"Jan-1992","12.0%"
"Dec-1991","11.9%"
"Nov-1991","11.7%"
"Oct-1991","11.6%"
"Sep-1991","11.4%"
"Aug-1991","11.3%"
"Jul-1991","11.1%"
"Jun-1991","11.0%"
"May-1991","10.8%"
"Apr-1991","10.6%"
"Mar-1991","10.4%"
"Feb-1991","10.2%"
"Jan-1991","10.0%"
"Dec-1990","9.9%"
"Nov-1990","9.7%"
"Oct-1990","9.6%"
"Sep-1990","9.6%"
"Aug-1990","9.5%"
"Jul-1990","9.4%"
"Jun-1990","9.4%"
"May-1990","9.4%"
"Apr-1990","9.4%"
"Mar-1990","9.4%"
"Feb-1990","9.3%"
"Jan-1990","9.3%"
"Dec-1989","9.3%"
"Nov-1989","NA"
"Oct-1989","NA"
"Sep-1989","NA"
"Aug-1989","NA"
"Jul-1989","NA"
"Jun-1989","NA"
"May-1989","NA"
"Apr-1989","NA"
"Mar-1989","NA"
"Feb-1989","NA"
"Jan-1989","NA"
"Dec-1988","NA"
"Nov-1988","NA"
"Oct-1988","NA"
"Sep-1988","NA"
"Aug-1988","NA"
"Jul-1988","NA"
"Jun-1988","NA"
"May-1988","NA"
"Apr-1988","NA"
"Mar-1988","NA"
"Feb-1988","NA"
"Jan-1988","NA"
"Dec-1987","NA"
"Nov-1987","NA"
"Oct-1987","NA"
"Sep-1987","NA"
"Aug-1987","NA"
"Jul-1987","NA"
"Jun-1987","NA"
"May-1987","NA"
"Apr-1987","NA"
"Mar-1987","NA"
"Feb-1987","NA"
"Jan-1987","NA"
"Dec-1986","NA"
"Nov-1986","NA"
"Oct-1986","NA"
"Sep-1986","NA"
"Aug-1986","NA"
"Jul-1986","NA"
"Jun-1986","NA"
"May-1986","NA"
"Apr-1986","NA"
"Mar-1986","NA"
"Feb-1986","NA"
"Jan-1986","NA"
"Dec-1985","NA"
"Nov-1985","NA"
"Oct-1985","NA"
"Sep-1985","NA"
"Aug-1985","NA"
"Jul-1985","NA"
"Jun-1985","NA"
"May-1985","NA"
"Apr-1985","NA"
"Mar-1985","NA"
"Feb-1985","NA"
"Jan-1985","NA"
"Dec-1984","NA"
"Nov-1984","NA"
"Oct-1984","NA"
"Sep-1984","NA"
"Aug-1984","NA"
"Jul-1984","NA"
"Jun-1984","NA"
"May-1984","NA"
"Apr-1984","NA"
"Mar-1984","NA"
"Feb-1984","NA"
"Jan-1984","NA"
"Dec-1983","NA"
"Nov-1983","NA"
"Oct-1983","NA"
"Sep-1983","NA"
"Aug-1983","NA"
"Jul-1983","NA"
"Jun-1983","NA"
"May-1983","NA"
"Apr-1983","NA"
"Mar-1983","NA"
"Feb-1983","NA"
"Jan-1983","NA"
"Dec-1982","NA"
"Nov-1982","NA"
"Oct-1982","NA"
"Sep-1982","NA"
"Aug-1982","NA"
"Jul-1982","NA"
"Jun-1982","NA"
"May-1982","NA"
"Apr-1982","NA"
"Mar-1982","NA"
"Feb-1982","NA"
"Jan-1982","NA"
"Dec-1981","NA"
"Nov-1981","NA"
"Oct-1981","NA"
"Sep-1981","NA"
"Aug-1981","NA"
"Jul-1981","NA"
"Jun-1981","NA"
"May-1981","NA"
"Apr-1981","NA"
"Mar-1981","NA"
"Feb-1981","NA"
"Jan-1981","NA"
"Dec-1980","NA"
"Nov-1980","NA"
"Oct-1980","NA"
"Sep-1980","NA"
"Aug-1980","NA"
"Jul-1980","NA"
"Jun-1980","NA"
"May-1980","NA"
"Apr-1980","NA"
"Mar-1980","NA"
"Feb-1980","NA"
"Jan-1980","NA"
"Dec-1979","NA"
"Nov-1979","NA"
"Oct-1979","NA"
"Sep-1979","NA"
"Aug-1979","NA"
"Jul-1979","NA"
"Jun-1979","NA"
"May-1979","NA"
"Apr-1979","NA"
"Mar-1979","NA"
"Feb-1979","NA"
"Jan-1979","NA"
"Dec-1978","NA"